"latitude","longitude","co2"
89.25,40.5,0.00061365473
89.25,41.25,0.0006136537
89.25,42,0.0006136523
89.25,42.75,0.0006136507
89.25,43.5,0.0006136491
89.25,44.25,0.00061364745
89.25,45,0.0006136458
89.25,45.75,0.0006136442
89.25,46.5,0.00061364257
89.25,47.25,0.0006136409
89.25,48,0.00061363925
89.25,48.75,0.00061363756
89.25,49.5,0.0006136359
89.25,50.25,0.0006136342
89.25,51,0.0006136325
89.25,51.75,0.00061363104
89.25,52.5,0.0006136298
89.25,53.25,0.00061362854
89.25,54,0.00061362726
89.25,54.75,0.0006136259
89.25,55.5,0.00061362464
89.25,56.25,0.00061362336
89.25,57,0.000613622
89.25,57.75,0.0006136207
89.25,58.5,0.0006136194
89.25,59.25,0.000613618
89.25,60,0.00061361655
89.25,60.75,0.00061361503
89.25,61.5,0.0006136136
89.25,62.25,0.0006136121
89.25,63,0.00061361067
89.25,63.75,0.00061360915
89.25,64.5,0.0006136077
89.25,65.25,0.0006136062
89.25,66,0.0006136047
89.25,66.75,0.00061360287
89.25,67.5,0.000613601
89.25,68.25,0.0006135991
89.25,69,0.0006135972
89.25,69.75,0.0006135953
89.25,70.5,0.00061359344
89.25,71.25,0.0006135915
89.25,72,0.00061358965
89.25,72.75,0.00061358773
89.25,73.5,0.0006135858
89.25,74.25,0.00061358395
89.25,75,0.00061358203
89.25,75.75,0.0006135801
89.25,76.5,0.0006135784
89.25,77.25,0.0006135768
89.25,78,0.00061357516
89.25,78.75,0.00061357353
89.25,79.5,0.0006135719
89.25,80.25,0.0006135703
89.25,81,0.00061356864
89.25,81.75,0.000613567
89.25,82.5,0.0006135654
89.25,83.25,0.00061356375
89.25,84,0.00061356183
89.25,84.75,0.00061355997
89.25,85.5,0.00061355805
89.25,86.25,0.0006135561
89.25,87,0.0006135542
89.25,87.75,0.0006135523
89.25,88.5,0.00061355036
89.25,89.25,0.0006135485
89.25,90,0.0006135466
89.25,90.75,0.0006135447
89.25,91.5,0.0006135428
89.25,92.25,0.00061354093
89.25,93,0.000613539
89.25,93.75,0.00061353744
89.25,94.5,0.00061353587
89.25,95.25,0.0006135343
89.25,96,0.0006135327
89.25,96.75,0.00061353116
89.25,97.5,0.0006135296
89.25,98.25,0.000613528
89.25,99,0.00061352644
89.25,99.75,0.0006135249
89.25,100.5,0.0006135234
89.25,101.25,0.00061352196
89.25,102,0.0006135205
89.25,102.75,0.0006135191
89.25,103.5,0.00061351765
89.25,104.25,0.00061351625
89.25,105,0.0006135148
89.25,105.75,0.0006135134
89.25,106.5,0.00061351206
89.25,107.25,0.00061351067
89.25,108,0.0006135092
89.25,108.75,0.0006135075
89.25,109.5,0.00061350584
89.25,110.25,0.00061350415
89.25,111,0.00061350246
89.25,111.75,0.00061350083
89.25,112.5,0.0006134992
89.25,113.25,0.0006134975
89.25,114,0.0006134959
89.25,114.75,0.0006134943
89.25,115.5,0.0006134927
